,GID_0,year,gdp_usd
0,ABW,1960,
1,AFG,1960,537777811.111111
2,AGO,1960,
3,ALB,1960,
4,AND,1960,
5,ARE,1960,
6,ARG,1960,
7,ARM,1960,
8,ASM,1960,
9,ATG,1960,
10,AUS,1960,18606562977.0501
11,AUT,1960,6592693841.18495
12,AZE,1960,
13,BDI,1960,195999990.0
14,BEL,1960,11658722590.99
15,BEN,1960,226195578.434497
16,BFA,1960,330442815.821186
17,BGD,1960,4274894083.33333
18,BGR,1960,
19,BHR,1960,
20,BHS,1960,169803921.568627
21,BIH,1960,
22,BLR,1960,
23,BLZ,1960,28072478.0724781
24,BMU,1960,84466652.5888912
25,BOL,1960,373250000.0
26,BRA,1960,
27,BRB,1960,
28,BRN,1960,
29,BTN,1960,
30,BWA,1960,30411413.6552828
31,CAF,1960,112155598.492157
32,CAN,1960,40461721692.6468
33,CHE,1960,9522746719.21614
34,,1960,
35,CHL,1960,4110000000.0
36,CHN,1960,59716249310.9742
37,CIV,1960,546203558.456965
38,CMR,1960,614206068.497266
39,COD,1960,
40,COG,1960,131731862.783017
41,COL,1960,4031152976.63904
42,COM,1960,
43,CPV,1960,
44,CRI,1960,507513829.994855
45,CUB,1960,
46,CUW,1960,
47,CYM,1960,
48,CYP,1960,
49,CZE,1960,
50,DEU,1960,
51,DJI,1960,
52,DMA,1960,
53,DNK,1960,
54,DOM,1960,672399700.0
55,DZA,1960,2723615451.30098
56,ECU,1960,2069464936.59762
57,EGY,1960,
58,ERI,1960,
59,ESP,1960,12072126075.397
60,EST,1960,
61,ETH,1960,
62,FIN,1960,5224102195.52771
63,FJI,1960,112328422.113084
64,FRA,1960,62225478000.8822
65,FRO,1960,
66,FSM,1960,
67,GAB,1960,141468977.799846
68,GBR,1960,73233967692.1028
69,GEO,1960,
70,GHA,1960,1223943661.97183
71,GIB,1960,
72,GIN,1960,
73,GMB,1960,
74,GNB,1960,
75,GNQ,1960,
76,GRC,1960,4335186016.83942
77,GRD,1960,
78,GRL,1960,
79,GTM,1960,1043599900.0
80,GUM,1960,
81,GUY,1960,170216241.126064
82,,1960,1320796651.69457
83,HND,1960,335650000.0
84,HRV,1960,
85,HTI,1960,273187199.78145
86,HUN,1960,
87,IDN,1960,
88,IMN,1960,
89,IND,1960,37029883876.1839
90,IRL,1960,1939329775.43739
91,IRN,1960,4199134389.9037
92,IRQ,1960,1683918766.43249
93,ISL,1960,248434096.968726
94,ISR,1960,2598500000.0
95,ITA,1960,40385288344.1911
96,JAM,1960,699064380.374248
97,JOR,1960,
98,JPN,1960,44307342950.4
99,KAZ,1960,
100,KEN,1960,791265459.493816
101,KGZ,1960,
102,KHM,1960,637142865.714286
103,KIR,1960,
104,KNA,1960,12366635.7500773
105,KOR,1960,3958811881.18812
106,KWT,1960,
107,LAO,1960,
108,LBN,1960,
109,LBR,1960,
110,LBY,1960,
111,LCA,1960,
112,LIE,1960,
113,LKA,1960,1409873949.57983
114,LSO,1960,34579986.1680055
115,LTU,1960,
116,LUX,1960,703925705.942958
117,LVA,1960,
118,,1960,
119,MAF,1960,
120,MAR,1960,2037154741.93211
121,MCO,1960,
122,MDA,1960,
123,MDG,1960,673081724.751168
124,MDV,1960,
125,MEX,1960,13040000000.0
126,MHL,1960,
127,MKD,1960,
128,MLI,1960,
129,MLT,1960,
130,MMR,1960,545098463.820274
131,MNE,1960,
132,MNG,1960,
133,MNP,1960,
134,MOZ,1960,
135,MRT,1960,
136,MUS,1960,
137,MWI,1960,
138,MYS,1960,1916229477.13657
139,NAM,1960,
140,NCL,1960,
141,NER,1960,449526873.29589
142,NGA,1960,4196174501.5302
143,NIC,1960,
144,NLD,1960,12276734172.0828
145,NOR,1960,5163271598.15702
146,NPL,1960,508334413.965087
147,NRU,1960,
148,NZL,1960,5485854791.97096
149,OMN,1960,
150,PAK,1960,3749265014.69971
151,PAN,1960,537147100.0
152,PER,1960,
153,PHL,1960,7515894110.56487
154,PLW,1960,
