,GID_0,GID_1,NAME_1
0,AFG,AFG_1_1,Badakhshan
1,AFG,AFG_2_1,Badghis
2,AFG,AFG_3_1,Baghlan
3,AFG,AFG_4_1,Balkh
4,AFG,AFG_5_1,Bamyan
5,AFG,AFG_6_1,Daykundi
6,AFG,AFG_7_1,Farah
7,AFG,AFG_8_1,Faryab
8,AFG,AFG_9_1,Ghazni
9,AFG,AFG_10_1,Ghor
10,AFG,AFG_11_1,Hilmand
11,AFG,AFG_12_1,Hirat
12,AFG,AFG_13_1,Jawzjan
13,AFG,AFG_14_1,Kabul
14,AFG,AFG_15_1,Kandahar
15,AFG,AFG_16_1,Kapisa
16,AFG,AFG_17_1,Khost
17,AFG,AFG_18_1,Kunar
18,AFG,AFG_19_1,Kunduz
19,AFG,AFG_20_1,Laghman
20,AFG,AFG_21_1,Logar
21,AFG,AFG_22_1,Nangarhar
22,AFG,AFG_23_1,Nimroz
23,AFG,AFG_24_1,Nuristan
24,AFG,AFG_25_1,Paktika
25,AFG,AFG_26_1,Paktya
26,AFG,AFG_27_1,Panjshir
27,AFG,AFG_28_1,Parwan
28,AFG,AFG_29_1,Samangan
29,AFG,AFG_30_1,Sari Pul
30,AFG,AFG_31_1,Takhar
31,AFG,AFG_32_1,Uruzgan
32,AFG,AFG_33_1,Wardak
33,AFG,AFG_34_1,Zabul
34,AGO,AGO_1_1,Bengo
35,AGO,AGO_2_1,Benguela
36,AGO,AGO_3_1,Bié
37,AGO,AGO_4_1,Cabinda
38,AGO,AGO_5_1,Cuando Cubango
39,AGO,AGO_6_1,Cuanza Norte
40,AGO,AGO_7_1,Cuanza Sul
41,AGO,AGO_8_1,Cunene
42,AGO,AGO_9_1,Huambo
43,AGO,AGO_10_1,Huíla
44,AGO,AGO_11_1,Luanda
45,AGO,AGO_12_1,Lunda Norte
46,AGO,AGO_13_1,Lunda Sul
47,AGO,AGO_14_1,Malanje
48,AGO,AGO_15_1,Moxico
49,AGO,AGO_16_1,Namibe
50,AGO,AGO_17_1,Uíge
51,AGO,AGO_18_1,Zaire
52,AIA,AIA_1_1,Blowing Point
53,AIA,AIA_15_1,Dog Island
54,AIA,AIA_2_1,East End
55,AIA,AIA_3_1,George Hill
56,AIA,AIA_4_1,Island Harbour
57,AIA,AIA_5_1,North Hill
58,AIA,AIA_6_1,North Side
59,AIA,AIA_16_1,Pricly Pear Cays
60,AIA,AIA_7_1,Sandy Ground
61,AIA,AIA_8_1,Sandy Hill
62,AIA,AIA_17_1,Scrub Island
