,GID_1_41,year,grp_usd
0,ALB.1_1,2010,517561565.031
1,ALB.1_1,2011,555944899.58976
2,ALB.1_1,2012,474077578.036896
3,ALB.1_1,2013,488117879.29777604
4,ALB.1_1,2014,497194178.264798
5,ALB.1_1,2015,434191515.711616
6,ALB.1_1,2016,454104600.9123
7,ALB.1_1,2017,479833769.92196995
8,ALB.1_1,2018,514280859.12476003
9,ALB.1_1,2019,493063375.05878097
10,ALB.2_1,2010,379289021.689368
11,ALB.2_1,2011,395652919.30179
12,ALB.2_1,2012,410315853.321864
13,ALB.2_1,2013,414516576.34345603
14,ALB.2_1,2014,420945607.048671
15,ALB.2_1,2015,371942658.884304
16,ALB.2_1,2016,390135794.61906
17,ALB.2_1,2017,401751755.253186
18,ALB.2_1,2018,457696694.266656
19,ALB.2_1,2019,432359534.537788
20,ALB.3_1,2010,1355557962.9844499
21,ALB.3_1,2011,1318791460.533973
22,ALB.3_1,2012,1228757341.492086
23,ALB.3_1,2013,1258357599.9455202
24,ALB.3_1,2014,1259715718.82274
25,ALB.3_1,2015,1113524193.218619
26,ALB.3_1,2016,1152747156.929286
27,ALB.3_1,2017,1279295713.780848
28,ALB.3_1,2018,1426329513.74097
29,ALB.3_1,2019,1461540103.32762
30,ALB.4_1,2010,1034556831.792
31,ALB.4_1,2011,1033431881.781048
32,ALB.4_1,2012,926909105.930874
33,ALB.4_1,2013,988591235.911932
34,ALB.4_1,2014,992746151.382564
35,ALB.4_1,2015,795483526.448336
36,ALB.4_1,2016,829857296.4275881
37,ALB.4_1,2017,861239443.077675
38,ALB.4_1,2018,969573871.813455
39,ALB.4_1,2019,953424807.885396
40,ALB.5_1,2010,1326578165.654
41,ALB.5_1,2011,1609522657.9893298
42,ALB.5_1,2012,1652383617.389797
43,ALB.5_1,2013,1747015848.097614
44,ALB.5_1,2014,1793123901.6243098
45,ALB.5_1,2015,1345158874.254111
46,ALB.5_1,2016,1303246029.4776318
47,ALB.5_1,2017,1353780430.398864
48,ALB.5_1,2018,1566785983.892072
49,ALB.5_1,2019,1589046192.15803
50,ALB.6_1,2010,285206938.961736
51,ALB.6_1,2011,354647145.817194
52,ALB.6_1,2012,349554192.453851
53,ALB.6_1,2013,342696382.70650804
54,ALB.6_1,2014,347247014.38236
55,ALB.6_1,2015,272379435.542445
56,ALB.6_1,2016,274780133.66344
57,ALB.6_1,2017,281300277.86059195
58,ALB.6_1,2018,312466058.508156
59,ALB.6_1,2019,316404018.818958
60,ALB.7_1,2010,700409171.7996091
61,ALB.7_1,2011,804570427.71689
62,ALB.7_1,2012,752387552.430052
63,ALB.7_1,2013,769968487.9805349
64,ALB.7_1,2014,765313424.3431079
65,ALB.7_1,2015,641673371.027225
66,ALB.7_1,2016,688988703.14528
67,ALB.7_1,2017,690906083.10375
68,ALB.7_1,2018,771558124.480038
69,ALB.7_1,2019,773184735.8924401
70,ALB.8_1,2010,278891032.093056
71,ALB.8_1,2011,317404573.54662
72,ALB.8_1,2012,282408554.28195596
73,ALB.8_1,2013,299753686.24152
74,ALB.8_1,2014,282483224.933481
75,ALB.8_1,2015,206480806.822524
76,ALB.8_1,2016,203080576.46979302
77,ALB.8_1,2017,215920040.647731
78,ALB.8_1,2018,245389088.48424402
79,ALB.8_1,2019,231791249.036452
80,ALB.9_1,2010,408152937.1335
81,ALB.9_1,2011,427771423.908732
82,ALB.9_1,2012,421527278.41307205
83,ALB.9_1,2013,405195005.114937
84,ALB.9_1,2014,429146924.634675
85,ALB.9_1,2015,377202290.04956
86,ALB.9_1,2016,408019256.868624
87,ALB.9_1,2017,412333048.73050004
88,ALB.9_1,2018,447741506.42915004
89,ALB.9_1,2019,449197302.98916
90,ALB.10_1,2010,752650922.560368
91,ALB.10_1,2011,833433617.3172101
92,ALB.10_1,2012,746244955.356236
93,ALB.10_1,2013,729351920.582481
94,ALB.10_1,2014,705841597.80216
95,ALB.10_1,2015,614188619.6964561
96,ALB.10_1,2016,637359728.898009
97,ALB.10_1,2017,652444059.45672
98,ALB.10_1,2018,734503265.310605
99,ALB.10_1,2019,730085203.485783
100,ALB.11_1,2010,5168573273.372535
101,ALB.11_1,2011,5174680045.8338995
102,ALB.11_1,2012,4847792417.592246
103,ALB.11_1,2013,4906034004.079757
104,ALB.11_1,2014,5058258247.909312
105,ALB.11_1,2015,4570749824.457096
106,ALB.11_1,2016,4700681914.355592
107,ALB.11_1,2017,5309557472.882988
108,ALB.11_1,2018,6122040837.75264
109,ALB.11_1,2019,6131457139.039488
110,ALB.12_1,2010,776025422.0619121
111,ALB.12_1,2011,919799325.9471251
112,ALB.12_1,2012,797124533.0859721
113,ALB.12_1,2013,786968655.7411561
114,ALB.12_1,2014,793768054.099146
115,ALB.12_1,2015,643949735.9623439
116,ALB.12_1,2016,695192569.442126
117,ALB.12_1,2017,708409187.991876
118,ALB.12_1,2018,808717105.964673
119,ALB.12_1,2019,790582790.4774389
120,ARG.1_1,1993,114813909299.36752
121,ARG.1_1,1994,123634221999.78696
122,ARG.1_1,1995,118814209052.78206
123,ARG.1_1,1996,120875751188.13979
124,ARG.1_1,1997,133746140883.4061
125,ARG.1_1,1998,134975914669.26323
126,ARG.1_1,1999,127259016567.53526
127,ARG.1_1,2000,122851281033.80673
128,ARG.1_1,2001,115239748994.04897
