Weight,Year,SI,SK,TR,UA,XK,AL,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LI,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE
cropland,2000,2092.94165039063,15270.0107421875,260955.265625,335999.84375,2439.17919921875,6543.76513671875,14737.1171875,10416.7265625,8946.15234375,38963.94140625,4402.4296875,1064.50207519531,33595.9453125,119150.1328125,20448.71875,8227.85546875,34381.79296875,176980.421875,23190.849609375,192112.203125,10084.30859375,48630.67578125,9811.943359375,1183.59814453125,106819.7890625,17.4968338012695,28490.212890625,582.685546875,10460.318359375,1952.15979003906,6049.82958984375,15.999698638916,9269.7734375,8989.48046875,143492.09375,22603.796875,99174.3828125,33004.1328125,27633.630859375
cropland,2005,2086.47265625,13844.19921875,263315.90625,335106.4375,2445.72924804688,6184.18701171875,14516.4306640625,10628.4013671875,8534.013671875,35009.99609375,4371.89111328125,1266.13354492188,33097.4453125,119766.4140625,20893.609375,5853.38330078125,33577.08984375,160636.6875,23677.8984375,191958.109375,10393.955078125,48337.8203125,10775.3193359375,1184.78039550781,97862.9140625,17.3509941101074,19562.02734375,576.400817871094,11031.423828125,2000.00390625,5053.537109375,16.5485038757324,10613.158203125,8820.955078125,125402.3046875,19404.017578125,94982.8203125,33611.92578125,27598.91796875
cropland,2010,2316.58154296875,13769.73828125,241817.5625,335042.28125,2402.0771484375,6491.92333984375,14352.3876953125,10570.3896484375,8436.5361328125,34883.18359375,4352.19287109375,851.682250976563,32625.08203125,119122.2421875,21663.58203125,6324.11767578125,32924.5390625,166576.6875,23864.298828125,190267.09375,10729.3896484375,46289.203125,9214.232421875,1130.81896972656,91234.2421875,16.9230060577393,21513.216796875,583.266662597656,11792.716796875,2001.97290039063,4724.091796875,18.3822631835938,9910.4560546875,8449.6728515625,112765.6171875,17726.798828125,95953.9140625,33234.7890625,26891.1171875
cropland,2015,2296.568359375,13722.9560546875,228427.984375,335703.25,2390.26489257813,6494.7646484375,14203.0966796875,10559.177734375,8210.8212890625,38004.7578125,4322.56201171875,789.679748535156,32282.29296875,119447.703125,21609.708984375,6248.5341796875,33228.3359375,166404.0625,23481.310546875,190330.625,9948.419921875,46211.16796875,10244.6416015625,1106.73168945313,85066.3515625,16.00901222229,24143.626953125,587.855102539063,12332.9609375,1993.30334472656,4765.828125,18.140251159668,10104.2109375,8176.78125,113328.34375,18072.51953125,90611.2109375,33010.25390625,26402.2578125
lights,2000,53394.64453125,113399.703125,407070.875,317609.21875,11919.3369140625,7668.48046875,178223.078125,36394.1328125,711548.8125,61692.203125,219477.109375,27667.38671875,275185,1895622,115226.90625,34073.17578125,195288.859375,1388287,493458.625,2012012.5,75425.0234375,173378.921875,97549.7890625,29404.912109375,2161938,1145.41882324219,41442.0390625,22313.578125,27920.06640625,6060.83447265625,27680.30859375,1470.53601074219,656801.1875,341630.40625,665317.75,271400.34375,147556.640625,71993.2890625,578826.25
lights,2005,64390.81640625,120602.421875,454007.90625,404830.40625,19961.107421875,17139.1015625,237834.5,59678.296875,627700.9375,86093.9765625,343918.71875,34328,322588.84375,1897661.5,99451.25,44781.37109375,254220.46875,1792771.625,569003.125,2247343.5,141788.796875,231583.046875,112870.875,30227.861328125,2669814.25,1968.36181640625,58613.9609375,26546.6484375,38709.53515625,11146.8427734375,29229.689453125,1552.3076171875,567959.4375,340590.9375,921157.5,478202.65625,202983.171875,153536.5,522254.3125
lights,2010,74780.515625,122401.5546875,736863.375,459534.125,13131.80078125,18498.06640625,269975.59375,50096.984375,836929,85972.5859375,367948.375,44390.4140625,501062.75,3040847,221038.8125,83377.8359375,238325.5625,1792833,861948.4375,2539501,149716.609375,203972.53125,151349.84375,22410.462890625,2781990,1889.39624023438,103196.3828125,39995.8046875,77999.9609375,12223.736328125,21516.287109375,1525.65356445313,761134.5,619365.5,1783506,479502.125,233505.421875,171569.765625,1013187.0625
lights,2015,38636.3046875,78516.015625,1552694,325895.03125,22408.853515625,38582.51171875,111452.1015625,58611.375,572287.75,107381.8125,124805.1171875,43673.46484375,221990.75,1165459,72436.265625,43371.2578125,262940.9375,1807456,620286.1875,2009440.875,129567.25,151050.125,98093.25,69780.25,2852813.75,522.069274902344,43972.296875,24468.09375,39217.73828125,23268.962890625,36040.3359375,1670.41955566406,491194.46875,500095.6875,883412.75,540333.5625,242550.59375,214340.953125,556362.8125
pop,2000,2175085.75,5324813.5,70561184,51529844,1365086.25,3210059,8286701.5,3870649.75,10751301,8087199,7106199.5,1015966.5625,10253457,83605368,5303952.5,1392384.375,11838553,42257844,6035057.5,62025192,4486707,11174075,3936586.75,313457.21875,59505144,29735.69921875,3455429,416932,2113301.75,717614.75,1950612.625,355055.625,16716843,4815039,38660728,10340696,21637572,7652326.5,9929698
pop,2005,2222898,5308216.5,71013632,50116160,1484003,3042762.75,8453044,3704469.75,11058757,7809050,7410198,1113481.625,10321907,82373328,5407829.5,1301117.125,11761975,45214032,6159536.5,64100524,4392897,10696204,4192595.25,329942.71875,60703848,30700.35546875,3252571,441338.875,2306314.5,706492.1875,1962443.5,361677.90625,17093232,5030822,38769416,10377208,20837682,7494344,10314129
