Weight,Year,CY0,CZ0,DE1,DE2,DE3,DE4,DE5,DE6,DE7,DE8,TR3,TR4,TR5,TR6,TR7,TR8,DE9,DEA,DEB,DEC,DED,DEE,DEF,DEG,TR9,TRA,TRB,TRC,DK0,EE0,EL3,EL4,EL5,XK0,EL6,ES1,ES2,ES3,ES4,ES5,ES6,ES7,FI1,FI2,FR1,FRB,FRC,FRD,FRE,FRF,FRG,FRH,FRI,FRJ,FRK,FRL,FRM,FRY,HR0,HU1,HU2,HU3,IE0,IS0,ITC,ITF,ITG,ITH,ITI,LI0,LT0,LU0,LV0,ME0,MK0,MT0,NL1,NL2,NL3,NL4,NO0,PL2,PL4,PL5,PL6,PL7,PL8,PL9,PT1,PT2,PT3,RO1,RO2,RO3,RO4,RS1,RS2,SE1,SE2,AL0,AT1,SE3,SI0,SK0,TR1,TR2,AT2,AT3,BA0,BE1,BE2,BE3,BG3,BG4,CH0
cropland,2000,1064.50207519531,33595.9453125,8965.314453125,21335.904296875,197.596954345703,10720.4560546875,146.495391845703,214.466644287109,5208.97119140625,10796.19921875,28648.51171875,13645.4130859375,31072.80859375,27068.248046875,32793.57421875,20123.796875,19001.05078125,10984.5576171875,4220.974609375,486.468963623047,7271.64111328125,10185.451171875,6595.474609375,2819.10571289063,5882.94970703125,23471.767578125,26795.8046875,34334.09375,20448.71875,8227.85546875,765.345153808594,1710.94885253906,18015.1484375,2439.17919921875,13890.3515625,3342.03540039063,23867.54296875,2707.11279296875,87176.4609375,18562.03515625,41111.5390625,213.701950073242,23084.328125,106.522895812988,5828.1318359375,20561.134765625,14081.61328125,12411.666015625,17943.083984375,22135.025390625,16876.423828125,13707.41796875,29277.46484375,21858.77734375,13207.7783203125,3487.75146484375,192.008331298828,543.9296875,10084.30859375,3209.13427734375,17754.154296875,27667.38671875,9811.943359375,1183.59814453125,17073.4375,27018.599609375,17139.46484375,22336.91015625,23251.37890625,17.4968338012695,28490.212890625,582.685546875,10460.318359375,1952.15979003906,6049.82958984375,15.999698638916,2160.5595703125,2830.30590820313,2158.2861328125,2120.6220703125,8989.48046875,8299.486328125,32375.900390625,15833.0185546875,28962.90234375,14763.955078125,27091.318359375,16165.513671875,22603.796875,0,0,20633.654296875,34268.3125,20119.947265625,24152.46484375,16023.6279296875,16980.50390625,9353.392578125,13709.5390625,6543.76513671875,7379.52294921875,4570.7001953125,2092.94165039063,15270.0107421875,1028.13195800781,16090.1650390625,2614.4833984375,4743.11083984375,10416.7265625,53.5068397521973,4734.70166015625,4157.9443359375,28298.306640625,10665.63671875,4402.4296875
cropland,2005,1266.13354492188,33097.4453125,9014.3623046875,21470.609375,196.247573852539,10744.59375,146.65705871582,214.343292236328,5243.51318359375,10866.9248046875,28890.603515625,13765.9052734375,31340.765625,27337.771484375,33063.58984375,20302.234375,19163.89453125,10930.908203125,4246.67724609375,488.355865478516,7296.10498046875,10253.4130859375,6648.5078125,2841.30029296875,5920.64697265625,23575.57421875,27139.28125,34754.609375,20893.609375,5853.38330078125,747.204223632813,1676.08435058594,17548.12109375,2445.72924804688,13605.681640625,3048.49194335938,21646.080078125,2444.1181640625,78852.0703125,17199.640625,37253.0078125,193.269058227539,23568.6484375,109.249725341797,5820.5908203125,20557.462890625,14077.8935546875,12408.669921875,17930.087890625,22128.3671875,16870.248046875,13708.283203125,29254.7890625,21822.19140625,13198.923828125,3481.6787109375,192.149612426758,506.77783203125,10393.955078125,3192.40112304688,17702.208984375,27443.2109375,10775.3193359375,1184.78039550781,15645.111328125,24747.71875,15699.908203125,20475.650390625,21294.529296875,17.3509941101074,19562.02734375,576.400817871094,11031.423828125,2000.00390625,5053.537109375,16.5485038757324,2542.60693359375,3259.15258789063,3433.14331054688,1378.25512695313,8820.955078125,7270.68994140625,28359.666015625,13912.0810546875,25255.125,12900.0732421875,23586.90234375,14117.76953125,19404.017578125,0,0,19728.00390625,32877.4140625,19200.8203125,23176.5859375,16303.29296875,17308.634765625,9339.9990234375,13715.19140625,6184.18701171875,7248.85595703125,4543.72802734375,2086.47265625,13844.19921875,1035.59289550781,16189.3203125,2584.0126953125,4683.5625,10628.4013671875,52.2222023010254,4440.95703125,4040.83447265625,25433.857421875,9576.1396484375,4371.89111328125
cropland,2010,851.682250976563,32625.08203125,8964.947265625,21366.923828125,192.675018310547,10662.123046875,145.153854370117,211.755218505859,5217.88671875,10815.4248046875,26488.23828125,12625.3671875,28733.451171875,25138.6953125,30306.96875,18619.8359375,19057.265625,10859.744140625,4228.26953125,485.698822021484,7245.580078125,10203.7099609375,6634.25830078125,2830.82275390625,5433.462890625,21652.923828125,24854.267578125,32120.552734375,21663.58203125,6324.11767578125,730.70556640625,1641.7607421875,17200.767578125,2402.0771484375,13351.3037109375,3120.32080078125,22475.390625,2533.99389648438,81860.828125,17697.796875,38687.58203125,200.782119750977,23753.841796875,110.457374572754,5762.560546875,20374.841796875,13953.86328125,12297.595703125,17770.0234375,21935.697265625,16717.20703125,13589.982421875,28998.76171875,21643.138671875,13080.333984375,3447.09814453125,190.615356445313,505.376129150391,10729.3896484375,3035.71215820313,16944.5234375,26308.96875,9214.232421875,1130.81896972656,14586.076171875,23065.912109375,14633.4833984375,19104.068359375,19844.701171875,16.9230060577393,21513.216796875,583.266662597656,11792.716796875,2001.97290039063,4724.091796875,18.3822631835938,2375.73217773438,3042.15405273438,3179.83203125,1312.73742675781,8449.6728515625,6548.42333984375,25471.5,12530.365234375,22682.3828125,11562.8857421875,21323.298828125,12646.765625,17726.798828125,0,0,19956.41015625,33232.921875,19385.015625,23379.568359375,16098.4365234375,17136.353515625,9099.7216796875,13385.1416015625,6491.92333984375,7140.8935546875,4406.2548828125,2316.58154296875,13769.73828125,948.304748535156,14895.498046875,2579.75073242188,4631.7431640625,10570.3896484375,51.5874214172363,4379.83251953125,4005.11596679688,25368.73828125,9514.443359375,4352.19287109375
cropland,2015,789.679748535156,32282.29296875,8987.001953125,21417.927734375,193.210906982422,10692.3642578125,145.557571411133,212.344161987305,5232.39892578125,10845.595703125,24967.060546875,11900.6552734375,27079.97265625,23723.703125,28565.4609375,17549.478515625,19116.083984375,10894.8369140625,4240.755859375,486.843994140625,7261.16943359375,10232.0888671875,6650.837890625,2838.68359375,5126.72314453125,20460.453125,23534.244140625,30520.97265625,21609.708984375,6248.5341796875,737.029663085938,1654.24487304688,17368.8046875,2390.26489257813,13468.2587890625,3119.44775390625,22448.87109375,2530.529296875,81780.9609375,17677.6640625,38646.0546875,200.542068481445,23372.62109375,108.687957763672,5757.29296875,20381.341796875,13957.3984375,12301.51953125,17761.55078125,21939.3828125,16722.541015625,13594.3173828125,29007.84765625,21650.595703125,13082.2958984375,3444.19702148438,190.676162719727,539.677307128906,9948.419921875,3038.3623046875,16918.59375,26254.212890625,10244.6416015625,1106.73168945313,13604.1220703125,21501.87890625,13640.4755859375,17821.80859375,18498.064453125,16.00901222229,24143.626953125,587.855102539063,12332.9609375,1993.30334472656,4765.828125,18.140251159668,2425.595703125,3103.56860351563,3252.537109375,1322.50964355469,8176.78125,6575.82568359375,25593.81640625,12581.9814453125,22791.642578125,11618.9765625,21458.087890625,12708.015625,18072.51953125,0,0,18783.783203125,31386.74609375,18306.2265625,22134.45703125,15948.6005859375,17061.654296875,8934.5859375,13142.1083984375,6494.7646484375,7067.38720703125,4325.5634765625,2296.568359375,13722.9560546875,893.822509765625,14105.4326171875,2552.96533203125,4582.74365234375,10559.177734375,49.9560585021973,4260.82080078125,3900.04418945313,27573.921875,10430.8369140625,4322.56201171875
lights,2000,27667.38671875,275185,210293.484375,195480.140625,27018.365234375,96289.3046875,5183.91015625,19231.189453125,134550.5,28556.640625,60817.3515625,53409.859375,71233.328125,53726.3671875,38236.125,15475.767578125,228116.1875,533202.8125,91663.5859375,18547.587890625,118626.2109375,73936.9453125,67644.2578125,47280.84765625,3068.65844726563,14112.7958984375,13438.255859375,24085.2890625,115226.90625,34073.17578125,51293.2734375,9089.4052734375,65737.765625,11919.3369140625,69168.421875,121482.921875,162908.734375,147572,201184.421875,429386.59375,292173,33579.3203125,492384.625,1073.97717285156,223655.265625,76788.546875,93859.296875,93357.5546875,264683.15625,203266.5625,88755.859375,68583.78125,147730.546875,196379.15625,347201.78125,178770.9375,9392.0966796875,19587.916015625,75425.0234375,57502.49609375,52969.0234375,62907.40625,97549.7890625,29404.912109375,599068.9375,395934.90625,170322.8125,606816.9375,389794.4375,1145.41882324219,41442.0390625,22313.578125,27920.06640625,6060.83447265625,27680.30859375,1470.53601074219,43857.9921875,146802.40625,266040.5625,200100.21875,341630.40625,213506.625,87407.9609375,66084.9453125,79908.0390625,51855.0546875,71408.1328125,95146.9765625,267633.125,786.490539550781,2980.71508789063,36773.6796875,31559.41015625,53009.515625,26214.0390625,39522.3359375,32470.94921875,203533,183038.0625,7668.48046875,76972.8125,192255.1875,53394.64453125,113399.703125,43378.51953125,16088.544921875,39395.74609375,61854.515625,36394.1328125,7167.9736328125,470087.03125,234293.796875,26666.712890625,35025.4921875,219477.109375
lights,2005,34328,322588.84375,294373.34375,299857,24906.298828125,85344.5234375,4247.67578125,17425.298828125,132399.75,27699.474609375,73339.453125,56244.9296875,70751.609375,66009.8828125,34578.1796875,16488.013671875,168643.984375,438930.15625,91521.4375,22461.72265625,114108.8125,64151.41796875,63015.22265625,48575.421875,3046.34912109375,16042.923828125,15143.1806640625,34707.859375,99451.25,44781.37109375,57955.76953125,13803.8359375,90137.859375,19961.107421875,92323,163581.71875,202173.0625,176061.078125,299174.21875,514219.6875,399702.125,37859.75390625,567982.375,1020.71124267578,225708.1875,84552.1328125,113980.8046875,99370.15625,248024.25,244247,110878.203125,74391.5546875,183522.296875,236854.84375,399483.5625,190407.359375,9312.17578125,26610.974609375,141788.796875,70748.1953125,74303.6796875,86531.171875,112870.875,30227.861328125,716778.25,492904.4375,204591.328125,764841.125,490699.0625,1968.36181640625,58613.9609375,26546.6484375,38709.53515625,11146.8427734375,29229.689453125,1552.3076171875,35146.15625,120510.1640625,242321.09375,169982.015625,340590.9375,276327.59375,103874.5703125,81362.21875,103876.2421875,92771.390625,124515.625,138429.8125,473114.375,1644.80078125,3443.47290039063,49162.84375,47846.96484375,63162.46875,42810.89453125,85970.3515625,67566.1484375,166883.203125,153653.78125,17139.1015625,87099.5,201717.328125,64390.81640625,120602.421875,45313.4765625,22342.05859375,45988.3671875,104746.6328125,59678.296875,6446.3193359375,409702.53125,211552.0625,38494.22265625,47599.75,343918.71875
lights,2010,44390.4140625,501062.75,423807.0625,387215.90625,32495.4140625,145887.8125,5874.00244140625,22214.861328125,226265.015625,49939.87890625,118751.078125,104128.1484375,104928.2421875,113617.96875,50248.3359375,32083.88671875,309371.53125,664468.25,175897.1875,36147.1171875,226852.875,134009.375,100338.96875,100061.75,10892.513671875,22547.607421875,27739.09375,57514.51953125,221038.8125,83377.8359375,56456.7890625,12316.447265625,85736.875,13131.80078125,83815.4609375,157196.328125,213066.453125,176817.484375,297808.03125,515541.6875,396615.28125,35787.72265625,860084.125,1864.33544921875,241653,95328.0625,126049.90625,137386.609375,301939.1875,352409,115061.6484375,87109.359375,176936.40625,234483.265625,448946.03125,185497.421875,7842.6298828125,28858.55078125,149716.609375,73945.53125,63175.171875,66851.828125,151349.84375,22410.462890625,812233.3125,505611.53125,185335.75,802938.4375,475871.03125,1889.39624023438,103196.3828125,39995.8046875,77999.9609375,12223.736328125,21516.287109375,1525.65356445313,57208.65234375,187436.859375,279159.5625,237329.40625,619365.5,419067.5,273931.21875,202124.0625,219915.703125,187496.453125,228492.296875,252478.765625,474505.0625,1671.41784667969,3325.63525390625,53833.44140625,54634.47265625,80270.9609375,44766.546875,103998.1171875,67571.6484375,320666.65625,402063.84375,18498.06640625,110634.96875,290456.5625,74780.515625,122401.5546875,58190.1875,36221.8046875,52519.03515625,106821.578125,50096.984375,7721.47998046875,515868.40625,313339.09375,38219.6171875,47752.96875,367948.375
lights,2015,43673.46484375,221990.75,142740.765625,142764.90625,22063.302734375,66645.8125,2837.27587890625,12619.54296875,88822.515625,17347.69140625,270193.25,202966.40625,169888.15625,222890.265625,112614.625,104880.671875,103442.7109375,316420.25,65661.3828125,18292.138671875,59455.8203125,42854.45703125,37802.73046875,25687.66796875,35081.77734375,63851.48046875,82800.609375,125494.984375,72436.265625,43371.2578125,58270.8203125,13178.0048828125,91961.78125,22408.853515625,99530.34375,142988.765625,203946.921875,179380.46875,310631.5625,488771.4375,444880.25,36856.5546875,619066.0625,1220.14184570313,231688.734375,76618.2265625,81364.140625,86764.578125,254830.21875,212904.421875,72269.4921875,44196.51953125,162691.09375,256486.90625,303188.75,190193.78125,11618.7890625,24625.171875,129567.25,53048.171875,48251.14453125,49750.80078125,98093.25,69780.25,776247.5,597166.0625,246110,726437.0625,506853.125,522.069274902344,43972.296875,24468.09375,39217.73828125,23268.962890625,36040.3359375,1670.41955566406,29337.67578125,87538.4296875,235557.34375,138761.015625,500095.6875,243185.421875,131137.21875,90010.734375,116018.2890625,89344.9453125,81174.9765625,132541.15625,534215.5,2113.77783203125,4004.26098632813,54902.4609375,55088.2109375,83375.6953125,49184.21875,114501.625,99839.3359375,192392.265625,151168.21875,38582.51171875,60840.51953125,212802.359375,38636.3046875,78516.015625,75564.1875,86467.6171875,16476.65234375,34134.92578125,58611.375,6267.50341796875,369069.65625,196950.609375,53803.1796875,53578.6328125,124805.1171875
pop,2000,1015966.5625,10253457,10691940,12253066,1330064.5,4773037,151341.375,756827.1875,6247537.5,1939896.375,9845858,6365176,6642636,9572043,4344424.5,4987968.5,9345346,18034424,4498218,824235.875,4257236.5,2840747,3155242.25,2506205.25,3459063.5,2853665.25,4235651.5,6597393.5,5303952.5,1392384.375,4116046.75,1095716.25,3467359,1365086.25,3159430.25,4223602.5,4103804.5,4858393.5,5816682,11756875,9814754,1683733.625,6003513.5,31544.1328125,10577518,2527137,2801739,3249220.25,6011086,5666891.5,3417147.75,2921723,5414750,5023110.5,7458603.5,4873202.5,285880.21875,1797183.625,4486707,2830700.5,3689360.25,4654014,3936586.75,313457.21875,15298977,14890001,7139237.5,10770240,11406689,29735.69921875,3455429,416932,2113301.75,717614.75,1950612.625,355055.625,1710967.875,3894305.25,7728513.5,3383056.25,4815039,7936381.5,6130827,3941974.25,5888894.5,3994408.25,5566086.5,5202158,9832411,312990.21875,195294.296875,5074510,6712867,5456248.5,4393945.5,3678082.25,3974244.25,3707146.75,4265573,3210059,3586096.75,1956978.5,2175085.75,5324813.5,8832781,2824523,1782494.125,2918110.25,3870649.75,155782.5625,6605043,3990475,4466622.5,3620576.5,7106199.5
pop,2005,1113481.625,10321907,10645195,12284762,1318852.875,4673802,150318.40625,756595.1875,6184658.5,1860026.25,9800288,6782249,6766438,9520608,4104908.5,4787467.5,9219233,17738790,4467114.5,801331.125,4081504.5,2683084.25,3142371.25,2365687.75,3115169.5,2624027.75,4224977.5,7013458,5407829.5,1301117.125,4081100.25,1114144.25,3451229,1484003,3115501.5,4287509.5,4287485,5294707.5,6074113,12871484,10532087,1866648.25,6126706,32830.46484375,10941315,2574372.25,2849880.75,3297547.75,6064999.5,5728422,3568093.25,3043383,5633124,5344675,7753648.5,5066425,309711.40625,1924927.625,4392897,2793743.75,3449252.75,4453207.5,4192595.25,329942.71875,15703374,14930140,7150026,11142139,11778172,30700.35546875,3252571,441338.875,2306314.5,706492.1875,1962443.5,361677.90625,1737911.75,3992020.5,7933918,3429381.25,5030822,7913150.5,6179879.5,3947528.75,5955849,3944944.75,5563215,5264847.5,9867007,316343.25,193857.71875,4927254,6364124.5,5366397.5,4179905.25,3654190,3840154,3934425.5,4424126,3042762.75,3696140.25,1955577,2222898,5308216.5,9356853,2917188.75,1795163.5,2961740.25,3704469.75,164291.625,6810668.5,4083797.25,4239169.5,3569880.25,7410198
